"","id","replyCount","likeCount","publishedAt","authorName","text","authorChannelId","authorChannelUrl","isReply","isReplyTo","isReplyToName"
"1","UgyP9eoUcrxBcpe_BhV4AaABAg",0,0,"2020-08-07 06:14:13","Wakey Wakey","Amen. Takes courage to speak the truth about anything these days.","UCmIgEglGNEscYZHsE2Aofyg","http://www.youtube.com/channel/UCmIgEglGNEscYZHsE2Aofyg",0,"",""
"2","UgxMzAp6WD9RpJR9csB4AaABAg",0,1,"2020-04-15 17:22:54","ANIL KUMAR","<a href=""https://3.bp.blogspot.com/-cRslCoPARJU/XLgBWDjamnI/AAAAAAACA7o/TwA12uy6bfs79oAHA7yDT9UCTfXnNJKWACLcBGAs/s1600/vaccine%2Bstupid%2Bto%2Bput%2Bdecisions%2Bin%2Bhands%2Bof%2Bvaccine%2Bmonopoly%2Bno%2Bprice%2Bfor%2Bbeing%2Bwrong.jpg"">https://3.bp.blogspot.com/-cRslCoPARJU/XLgBWDjamnI/AAAAAAACA7o/TwA12uy6bfs79oAHA7yDT9UCTfXnNJKWACLcBGAs/s1600/vaccine%2Bstupid%2Bto%2Bput%2Bdecisions%2Bin%2Bhands%2Bof%2Bvaccine%2Bmonopoly%2Bno%2Bprice%2Bfor%2Bbeing%2Bwrong.jpg</a>","UCWd3Lz5tJitiV0VJ0asFQFg","http://www.youtube.com/channel/UCWd3Lz5tJitiV0VJ0asFQFg",0,"",""
"3","Ugyznv2xuCttf55lnLd4AaABAg",0,1,"2020-04-15 17:22:48","ANIL KUMAR","<a href=""https://3.bp.blogspot.com/-cRslCoPARJU/XLgBWDjamnI/AAAAAAACA7o/TwA12uy6bfs79oAHA7yDT9UCTfXnNJKWACLcBGAs/s1600/vaccine%2Bstupid%2Bto%2Bput%2Bdecisions%2Bin%2Bhands%2Bof%2Bvaccine%2Bmonopoly%2Bno%2Bprice%2Bfor%2Bbeing%2Bwrong.jpg"">https://3.bp.blogspot.com/-cRslCoPARJU/XLgBWDjamnI/AAAAAAACA7o/TwA12uy6bfs79oAHA7yDT9UCTfXnNJKWACLcBGAs/s1600/vaccine%2Bstupid%2Bto%2Bput%2Bdecisions%2Bin%2Bhands%2Bof%2Bvaccine%2Bmonopoly%2Bno%2Bprice%2Bfor%2Bbeing%2Bwrong.jpg</a>","UCWd3Lz5tJitiV0VJ0asFQFg","http://www.youtube.com/channel/UCWd3Lz5tJitiV0VJ0asFQFg",0,"",""
"4","UgzMtbvQUnmOqZGGIAJ4AaABAg",0,0,"2020-04-14 18:14:27","Brian Miller","These ass holes have destroyed my life I have no friends or family because those sick losers think the same thing as you do the pharmaceutical industry has a lot to answer for.","UCZQBN4KPzrC8XU-T63carDg","http://www.youtube.com/channel/UCZQBN4KPzrC8XU-T63carDg",0,"",""
"5","UgysFKm_vJL_DtC4rbd4AaABAg",0,0,"2020-04-12 23:36:57","Kelp Thing","Measles: thx 4 welcoming me kindly","UCo0E4RWHqwVZdS7v4OFRDgg","http://www.youtube.com/channel/UCo0E4RWHqwVZdS7v4OFRDgg",0,"",""
"6","UgzKZPnX2aLyHpMSLgN4AaABAg",0,0,"2020-02-27 16:08:33","pizza frog.","So many anti-vaxers","UCwhvif-3AnDo9fz5a2TImnA","http://www.youtube.com/channel/UCwhvif-3AnDo9fz5a2TImnA",0,"",""
"7","Ugy_2Y-PVgyAOkFVeXV4AaABAg",0,0,"2020-02-24 21:59:35","K. M. Sparks","Why do you people believe this misinformation this can kill people who are immuno comprised and brings back deadly illnesses and if you have questions about vaccines go talk to a doctor about your concerns<br><br>PS:don&#39;t say I&#39;m from big pharma cause I&#39;m not","UCWRaIgX7qBQsOwn4tcWZlcQ","http://www.youtube.com/channel/UCWRaIgX7qBQsOwn4tcWZlcQ",0,"",""
"8","Ugy2427FBh0K3MyJIC94AaABAg",0,0,"2019-11-16 05:55:35","Teresa Cullen","thank you shared 👍🌠💫🌠💫🌠💫🌠","UCvibEJa_ZFYqAaGLS554e0Q","http://www.youtube.com/channel/UCvibEJa_ZFYqAaGLS554e0Q",0,"",""
"9","UgwFy1HHx8Yus_qV_jV4AaABAg",0,1,"2019-06-11 03:36:54","z3k3","Vaccines have a very low number of Mercury or any other &#39;fatal&#39; substance for that matter. As a matter of fact you consume way more Mercury every day than you do in a single vaccine. As a matter of fact, the point of the vaccine is to expose your body to a weaker version of the disease so it can be prepared for the stronger version later.","UCBx0OpuxlmmsYDC0ush4r2g","http://www.youtube.com/channel/UCBx0OpuxlmmsYDC0ush4r2g",0,"",""
"10","UgyaWzQFq4Kk2XcJfGB4AaABAg",0,0,"2019-06-05 02:43:08","kotoricore","If you can be vaccinated please be vaccinated but if you have a bad reaction make sure to make your children or others who can get vaccinated get vaccinated","UCMfs1wy3hYcs4AKrAsNyS0g","http://www.youtube.com/channel/UCMfs1wy3hYcs4AKrAsNyS0g",0,"",""
"11","UgxScEL0Dao6_rmk3G54AaABAg",0,0,"2019-06-02 07:40:53","phloridababe","5 years late. Googlsux.","UCD06gBDsjxBgNVlKUWqbQgg","http://www.youtube.com/channel/UCD06gBDsjxBgNVlKUWqbQgg",0,"",""
"12","Ugx5Gmi7YMgrDpfM-XZ4AaABAg",0,0,"2019-06-01 11:58:22","Jen Barrett","I want to know why it&#39;s nessessary to give a new born baby (hours old) hep b vaccine? Hep b is a blood born pathogen, meaning could b exposed by direct contact with blood! People at risk are: medical community, needle drug users, anal sex or unprotected sex with infected person. Hep b vaccines are a 3 shot series within a few months. The vaccine has thermisol in it which ends up building up in the body/brain because the body cannot detox a metal. Huh??? Then add all the other 69 doses of vaccines that the cdc recommends by 18 yrs old!!! I think not!!! No wonder autisim epidemic! So sad Lord help us from evil pharmakia!!! Pharmakia=potion =witch craft.....","UCMQlInS0i_KLKCOeaChL9DQ","http://www.youtube.com/channel/UCMQlInS0i_KLKCOeaChL9DQ",0,"",""
"13","Ugy1-AdnYeGW5kCqhMN4AaABAg",0,1,"2019-05-30 02:18:24","Michael Mcdowell","I&#39;ll take my vaccines, historically they have worked for what they are for and the ingrediants in vaccines have not effected me in any way I can detect; vaccines are effective and never meeting a person with polio is part of my evidence; if u want to know what less vaccines looks like check out how they&#39;re doing in Africa and tell me they&#39;re healthier","UCcNEO1YqoppqDHV6u9-uzXg","http://www.youtube.com/channel/UCcNEO1YqoppqDHV6u9-uzXg",0,"",""
